Mentions,Sentiment
"Menteri Sosial mengeklaim, distribusi BLT Minyak Goreng saat ini sudah mencapai 98 persen.
 Ia meyakini penyaluran Bantuan Langsung Tunai (BLT) minyak goreng rampung sebelum Lebaran 1443 Hijriah. 
Mantap..Ã°ÂŸÂ‘ÂÃ°ÂŸÂ‘Â
Ã°ÂÂ—ÂÃ°ÂÂ—Â¼Ã°ÂÂ—Â¸Ã°ÂÂ—Â¼Ã",Positive
@Sisilteume Blt soalnya lg muter tu lagu,Positive
WTF is a BLT w/n bacon Ã°ÂŸÂ™Â„,Negative
".penyaluran BLT DD dan Vaksinasi Desa Curah Kalak, Kecamatan Jangkar
Kamis, 28 April 2022

""Salam Sehat Dari Kami""
""UPT Puskesmas Jangkar""

@DinkesSitubondo
@promkes_stb
#situbondo
#situbondokab
#situbondospecial
#situbondohits
#situbondokreatif
#situbond",Positive
Bhabinkamtibmas Polsek Mandalawangi Kawal dan Amankan langsung PembagianÃ‚Â BLT-DD https://t.co/pRVM6jKrme,Positive
"Serda Abd.Azis Babinsa desa Buakkang Koramil 1409-07/Tb melaksanakan pendampingan penyaluran BLT Dana Desa Th 2022 kepada masyarakat yang kurang mampu, yang bertempatÃ‚Â di kantorÃ‚Â  Desa Buakkang Kec.Bungaya Kab.Gowa. https://t.co/xnkjcBK5pN",Negative
Penyaluran BLT DD Triwulan pertama bulan Januari s/d Maret tahun 2022 Desa Letmafo Kecamatan Insana Tengah https://t.co/E5peyLqrIC,Negative
Kades Bantarkalong Pimpin Pembagian BLT DDÃ‚Â 2022 https://t.co/rCmF9Q3yas,Positive
Pendistribusian BLT minyak goreng kini telah capai 99% terpenuhi jadinya pas banget untuk masyarakat #DukungMendagLutfi https://t.co/TZj8gdH8R8,Positive
Kenapa kaki saya jd pegel sampe skrg.. padahal cuma nyetir blt-kdr doang. Tapi jalanan dah rame sih :((,Negative
"UPP Kab.Bantaeng melaksanakan giat pengamanan penyaluran BLT DD kepada penerima manfaat &amp; memberikan himbauan untuk vaksin covid-19 di desa bonto bulaeng kec.sinoa Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker yang digunakan ol",Positive
Saat ini penyaluran BLT minyak goreng telah mencapai 90% terpenuhi jadinya pas banget untuk masyarakat #DukungMendagLutfi https://t.co/YPP2UKB4b2,Positive
"UPP Kab.Bantaeng melaksanakan giat pengamanan penyaluran BLT DD kepada penerima manfaat &amp; memberikan himbauan untuk vaksin covid-19 di desa papanloe https://t.co/4NJ8P7OnFW'jukukang Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker",Positive
"Masya Allah sesuatu banget yah guys, kini penyaluran BLT minyak goreng sudah 90% terpenuhi jadinya pas banget untuk masyarakat #DukungMendagLutfi https://t.co/9yCfIo93M3",Negative
"@KING__VADUKA BLT migor Ã°ÂŸÂ‘ÂŽ
THR om tamvan Ã°ÂŸÂ‘Â

Bismillah.. semoga kebagian #THRomtamvan Ã°ÂŸÂ¤Â²
#Ramadan #Berkah",Neutral
"@KING__VADUKA BLT migor Ã°ÂŸÂ‘ÂŽ
THR om tamvan Ã°ÂŸÂ‘Â

Bismillah.. semoga kebagian Ã°ÂŸÂ¤Â²
#Ramadan #Berkah",Positive
"@alisyarief Ali ali Puasa Puasa Kok tukang adu domba,,,, NGERI KALAU SEORANG SEPERTI ALI TIDAK LEBIH PEKERJAANYA SEPERTI ANJING ANJING MENGOGONG,PRESIDEN JOKOWI INI BERARTI ORANG BAIK MERANGKUL SEMUANYA,BIARPUN DI HINA SAMA KADRUN,TAPI BLT TETAP DI BAGI B",Positive
Uang BLT Subsidi Gaji Bisa Hangus? Simak Cara Tarik Dana BSU 2022 yang Cair April Ini bagi Pekerja https://t.co/OHVFh5t3wM,Positive
Pemerintah menyalurkan BLT berupa minyak goreng dan sembako lainnya https://t.co/nAKaJOC3wE,Positive
@_nanakhairi_ omaigaddd Ã°ÂŸÂ¤Â¬Ã°ÂŸÂ¤Â¬Ã°ÂŸÂ¤Â¬ agik rasanya kenak anok hahah mena juak mun nya tek maok lain dr sop federal polah menar2 bahhhh nak. kita nak balit maok sik maok paksa juak ekot. tok bodo kedakya. patut kau pun malas nak blt kch hahahaha,Positive
Pemerintah menyalurkan BLT berupa minyak goreng dan sembako lainnya https://t.co/u2ATYTezpS,Positive
"yaaa gua RAJAnya pak abu

'' menolong agama allah ... pasti di tolong sama allah tuhan kita ...''

yaaaa gua nolong harta lewat uang BLT ke salafi pak abu",Negative
"Bakal Cair April 2022, Simak Cara Cek BLT UMKM melalui https://t.co/DQ9ZdZajzF https://t.co/buzRc7Nq4w",Positive
Atm mana mana ngantri bgt. Coba masi make cimb ga ngantri mcm blt kaya bca.,Positive
Pemerintah Gampong Baro Salurkan BLT DD dan Gelar Paket Murah https://t.co/BMmXLVsUfL https://t.co/hNp6k4i986,Positive
"UPP Kab.Bantaeng melaksanakan giat pengamanan penyaluran BLT DD kepada penerima manfaat &amp; memberikan himbauan untuk vaksin covid-19 di desa bonto marannu kec.uluere Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker yang digunakan o",Negative
"UPP Kab.Bantaeng melaksanakan giat pengamanan penyaluran BLT DD kepada penerima manfaat &amp; memberikan himbauan untuk vaksin covid-19 di desa papanloe https://t.co/0d96xa5AeV'jukukang Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker",Positive
"UPP Kab.Bantaeng melaksanakan giat pengamanan penyaluran BLT DD kepada penerima manfaat &amp; memberikan himbauan untuk vaksin covid-19 di desa papanloe https://t.co/i2bmcMsDVQ'jukukang Sekaligus sosialisasi sapu bersih pungutan liar, melalui media masker",Positive
UPP Kab.Bantaeng melaksanakan giat pengamanan penyaluran BLT DD kepada penerima manfaat &amp; memberikan himbauan untuk vaksin covid-19 di desa pa'jukukang https://t.co/i2bmcMsDVQ'jukukang Sekaligus sosialisasi sapu bersih pungutan liar...Ã°ÂŸÂ–ÂÃ¯Â¸ÂÃ°,Negative
@Estyypujii dari blt pemerentah kalik y.,Negative
"Percepatan penyaluran BLT DD tahap II tahun 2022 sesuai hasil Musdesus validasi, verifikasi &amp; penetapan KPM BLT DD jumlah 95 KPM, Ds. Kadulimus Kec. Banjar kab. Pandeglang Banten
@halimiskandarnu 
@imansyukri 
@malik_haramain 
@yusradaridesa 
@acongte",Positive
"Giat Penyerahan / Penyaluran Bantuan Langsung Tunai ( BLT ) Dana Desa ( APBN )   bulan Januari, Februari, dan maret  Tahun 2022, bertempat diKantor Desa Kelirejo Kec.Belitang II Kab. Oku Timur. https://t.co/X3lmfsjte0",Positive
Pemerintah Gampong Baro Salurkan BLT DD dan Gelar PaketÃ‚Â Murah https://t.co/g6vaYjs7A3,Positive
"Dugaan Kecurangan BUMDes Rajawangi Dalam Penyaluran BLT Minyak Goreng Bakal Dilaporkan Ke APH 

#majalengka
#kabupatenmajalengka
#kotamajalengka
#infomajalengka

 https://t.co/AqT6YRKfi7",Positive
"Dugaan Kecurangan BUMDes Rajawangi Dalam Penyaluran BLT Minyak Goreng Bakal Dilaporkan Ke APH 

#majalengka
#kabupatenmajalengka
#kotamajalengka
#infomajalrngka

 https://t.co/AqT6YRKfi7",Positive
[BERITA] Wakapolsek Pasar Kemis Polresta Tangerang Pantau Penyaluran Bantuan Program BLT ... - https://t.co/K4PjVZ43xQ,Negative
Krn udah pernah ngerasain kapoknya mudik naik mobil jkt-blt 17 jam. Trs diajakin mudik lagi naik mobil aku memilih pulang setelah lebaran. Byeeee punggung yupi,Negative
oke banget penyaluran BLT minyak goreng ini sudah dilakukan 90% tersalurkan #DukungMendagLutfi https://t.co/IFFDjadIn7,Positive
penyaluran BLT minyak goreng sudah 90% terpenuhi nih keren banget kan #DukungMendagLutfi https://t.co/mKfmGhzIHn,Positive
Bhabinkamtibmas dan Babinsa Monitoring Penyaluran BLT DD di Desa Saninten https://t.co/NXRB9Xkfjo,Positive
penyaluran BLT minyak goreng sudah 90% jadi banyak masyarakat yang terbantu pastinya #DukungMendagLutfi https://t.co/OZxtFDVCOb,Positive
93 Persen BLT Minyak Goreng Sudah Disalurkan https://t.co/IhUI3Ln5VI https://t.co/k4ZpG23y8i,Positive
oke banget nih penyaluran BLT minyak groeng sudah 90% terpenuhi jadinya pas banget kan buat masyarakat #DukungMendagLutfi https://t.co/ONtz7LRbBj,Positive
oke banget penyaluran BLT minyak goreng ini sudah dilakukan 90% tersalurkan #DukungMendagLutfi https://t.co/6u6F27hFVo,Positive
"@OposisiCerdas Sepertinya tidak akan terjadi, karena Jokowi mendengarkan suara rakyat. 
Minta BLT, bagi BLT.
Minta demo, silahkan, tapi Jokowi pamit ke tempat lain. 

Nah ketika minta harga migor turun ini yang susah. Jokowi Mengaku gagal.
Mohon maaf lahi",Negative
penyaluran BLT minyak goreng sudah 90% jadi banyak masyarakat yang terbantu pastinya #DukungMendagLutfi https://t.co/jP0qL4FYKA,Positive
"Guis alhamduliah 99% penyaluran BLT migor udah terpenuhi
#DukungMendagLutfi https://t.co/1eOj1dx9mk",Positive
penyaluran BLT minyak goreng sudah 90% terpenuhi nih keren banget kan #DukungMendagLutfi https://t.co/jANlgBhvhP,Positive
penyaluran BLT minyak goreng sudah 90% jadi banyak masyarakat yang terbantu pastinya #DukungMendagLutfi https://t.co/9DiaseRZbV,Negative
"@babumeong Gak culture shock, udah culture di bawah nalar. Bayangin kalau di indonesia dapet dana blt buat nyari lontong.",Negative
oke banget nih penyaluran BLT minyak groeng sudah 90% terpenuhi jadinya pas banget kan buat masyarakat #DukungMendagLutfi https://t.co/rulrVNyU7o,Positive
Babinsa bersama Bhabinkamtibmas melaksanakan kegiatan pendampingan penyaluran Bantuan Langsung Tunai Dana Desa https://t.co/qWTdedVwK1 https://t.co/PMbWp2KFiN,Positive
"Dan menggunakan dana bansos untuk menutupi ke ambrolradul tata kelola sawit n negara Pemerintah Presiden kalah n tunduk oleh pengusaha n cukong cukong , Negara kalah dengan kartel n mafia , BATALKAN BLT migor Jokowi Me-sengsarakan n membebani rakyat , pre",Negative
"Polres Purwakarta Salurkan BLT untuk PKL dan Warung Tahap 2
Ã¢Â¬Â‡Ã¯Â¸Â
https://t.co/UwH5rTTI99

#sinarjabar #sinarjabardotcom #faktual #kritis #infojabar #jabar #jawabarat #beritajabar #polrespurwakarta #salurkanblt #pkl #warungtahp2

@humaspolres_pwk @",Positive
"Blusukan ke Pasar, Bupati Rembang Ditagih BLT
https://t.co/h2sn3pi6nh",Negative
Kades Ogan Campang SalurkanÃ‚Â BLT https://t.co/L4aetRVd0V,Negative
BSU 2022 Benarkah Sudah Akan Cair Bulan April dan Mei? Berikut 3 Cara Cek Penerima BLT Gaji Rp1 Juta https://t.co/d64QOvfoDJ,Positive
83 KPM di Pekon Parda Haga dapat BLT DD Selama Tiga Bulan https://t.co/8Xpv4f8zQE,Negative
"Penyaluran BLT DD Triwulan 1 T.A 2022 Desa Pandat, Kecamatan Mandalawangi, Pandeglang, Banten
#BerkahDanaDesa

@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@azzameldzikrie 
@tppkemendes 
@acongteahasan79
@ndrairawan9",Positive
"Kamis 28/04, Monitoring pembagian Bantuan Langsung Tunai Dana Desa (BLT-DD) TA.2022 di Desa Tegalongok Kecamatan Koroncong https://t.co/ki27OSPzwX",Positive
"Hari ini beberapa hari sebelum Lebaran,
BLT-DD nya sudah dicairkan.
Terima kasih Dana Desa,

Penyaluran BLT-DD untuk 105 KPM di Desa Gunung Datas, Kec. Raya Kahean, Kab. Simalungun berjalan dgn baik.
@tppkemendes
@kemendesapdtt 
@TPPISUMUT https://t.co/DR",Negative
Monitoring pemasangan sticker di rumah masyarakat yang menerima bantuan BLT-DD di Desa Pahlawan Ratu https://t.co/WsnTXuCZZ9,Positive
Simak Cara Daftar BLT Minyak Goreng yang Sudah Berangsur Cair Senilai Rp300 Ribu per Penerima Kategori Ini https://t.co/6mY4oC8lxF,Negative
"BLT Januari dan Maret 2022 Cair, Masyarakat Desa Tanjung Sari, Mengucapkan Terimakasih Kepada Pemerintah Desa
https://t.co/bKAS1LuMWl",Positive
BLT Dana Desa Triwulan 1 di Merauke MulaiÃ‚Â Dicairkan https://t.co/Qp5owd3eK7,Negative
"Kantor Pos salurkan BLT minyak goreng ke KPM di Malut, awasi penyalurannya
https://t.co/Y0ahoOtOjJ",Positive
"@susipudjiastuti Dari dulu saya tidak setuju dgn adanya BLT krn ada pesan nboraktek terselebung di balik itu, lebih baik dibuat dana lapangan pekerjaan yg hasilnya bisa untuk dibuat kesejahteraan rakyat",Negative
BLT Minyak Goreng Cair Lewat Apa? Dapatkan Bantuan Senilai Rp 300 Ribu https://t.co/2dKOrIIbyN,Positive
"Mantap banget, 99 persen penyaluran BLT minyak goreng sudah terpenuhi gais
#DukungMendagLutfi https://t.co/UL6lSwhnGh",Positive
Ada Warga yang Belum Ambil BLT karena Belum Divaksin https://t.co/DAihWUZ4gW,Positive
Babinsa Koramil 07/Wedi Kodim 0723/Klaten bersama Bhabinkamtibmas amankan dan awasi penyaluran bantuan BLT di wilayah binaan https://t.co/ownj6wqoNz,Positive
BLT-DD Desa Srimenanti 3 bulan TelahÃ‚Â Tersalurkan https://t.co/LyrskSM9el,Positive
Babinsa Koramil 07/Wedi Kodim 0723/Klaten laksanakan pendampingan penyaluran bantuan BLT DD tahap IV di wilayah binaan https://t.co/3lsLBcYaEY,Positive
"99% penyaluran BLT migor udah terpenuhi
#DukungMendagLutfi https://t.co/kkqo1FLbiw",Positive
"Penyaluran BLT. Dana Desa bulan Januari s.d Maret 2022 kepada 90  KPM, Kamis, 28 April 2022, Desa NAGORI BANDAR, Kec. Bandar, Kab. Simalungun
#SimalungunSalurBLTDD 
#TPPSimalungun
@jokowi
@halimiskandarnu
@imansyukri
@malik_haramain
@taufikmadjid71
@yusra",Neutral
DEMI KELANCARAN BABINSA DAN BHABINKAMTIBMAS DAMPINGI PENYALURAN BLT DD https://t.co/KFdVFgf07u,Positive
"Login https://t.co/DQ9ZdZajzF untuk Cek Status Penerima BPUM 2022, Ada Pengumuman BLT UMKM Rp600.000 https://t.co/4dYDeDl06i",Positive
pendampingan Pembagian BLT tahap 2 di desa purut kecamatan Lumbang kabupaten Probolinggo https://t.co/NqBmK7RXjf,Positive
"Bapak Gubernur yang terhormat. Masih  warga Desa Gandrungmanis, kec. Gandrungmangu Kab. Cilacap yang tidak dapat bantuan BLT maupun sembako, padahal kehidupannya jauh dari garis kemiskinan. Mohon bantuannya Bapak. Semoga segala bantuan tepat sasaran. Matu",Negative
Penyerah BLT bln Januari .Februari dan bln Maret tahun 2022.desa panca tunggal kec sungai lilin kab Muba.sumsel https://t.co/twkEHrMwj5,Neutral
"Babinsa Wonokerto Kulon Serka Susilo monitoring pelaksanaan penyaluran BLT

#tniad
#kodamIV
#pendam4Dip
#JatengDIY
#Kodim0710
#Pekalongan https://t.co/ROKlkq3m1e",Positive
"Simak Kriteria dan Cara Cek Penerima BLT UMKM 2022, Anda Salah Satunya? https://t.co/MS8fhP9okn",Negative
"Penyaluran BLT-DD Bulan Januari - Maret TA. 2022 Desa Tempeh Tengah

Lumajang (28/04/2022), Kapolsek Tempeh Polres Lumajang Polda Jatim, IPTU LUGITO, S.H. bersama Anggota memantau pelaksanaan Penyaluran BLT-DD Bulan Januari s/d Maret TA. 2022 kepada warga",Positive
"Penyaluran BLT dana desa  terhadap KPM Desa  Sigodang,kec.PANEI,Kab.Simalungun https://t.co/cMx5VlS51p",Positive
"Penyaluran BLT DD TA. 2022 Nagori Sibaganding, Kec.Girsang Sipanganbolon Bolon, Kab. SIMALUNGUN, SUMUT
#BLTDD
#TPPSimalungun
@jokowi 
@halimiskandarnu 
@tppkemendes
@Pusat_PPMD 
@TPPISUMUT 
@KoorprovSumut 
@arjuna16sp https://t.co/VH533GQOOU",Positive
"Guis alhamduliah 99% penyaluran BLT migor udah terpenuhi
#DukungMendagLutfi https://t.co/QeZvxJCA7A",Positive
"Jadi cuma terima duit aja, tertulis 500.000 di buku pas mau kasih BLT.

Pertanyaannya benarkah 500rb?
Ataukah 100rb sudah di korupsi? karena nyokap ga mau banyak tanya nanti di kira ribet.",Positive
"Ceritanya Nyokap dapat BLT,
Biasanya kan 600.000 trus di potong biaya pembangunan masjid tete bengek apalah tae kucing, seikhlasnya, tapi di patok 50.000
(Tahun lalu ini)

Nah kali ini dpt nya 500.000
Lah, bukannya 600.000 juga ya biasanya?
Nyokap ga tau ",Positive
Ribuan Buruh Pabrik Rokok di Sidoarjo Terima BLT dari Dana Bagi Hasil Cukai Tembakau https://t.co/qvBDuIFXA2,Positive
Untuk itu kami mengapresiasi Pemdes Lintidu atas penyaluran BLT lima bulan diwaktu yang sama.Ã¢Â€Â Tutup Eliston.,Positive
#PapuaIndonesia Kantor Pos Cabang Sorong salurkan BLT Minyak Goreng https://t.co/1hkHT7BTPx,Positive
"Akses https://t.co/DQ9ZdZajzF, Ada BLT UMKM Rp600.000 Cair Tunai ke Orang yang Punya Tanda Ini https://t.co/I9bpEz0NMx",Positive
"Aparatur Desa Ulun Tanoh Bagi-Bagi BLT Langsung ke Rumah Penyandang Disabilitas, https://t.co/3nksnx5Xfh",Positive
"Hari terakhir bank buka, antriane dowo bngt koyo antri blt",Positive
2.994 Buruh Pabrik Rokok di Sidoarjo Terima BLT dari Dana Bagi Hasil Cukai Tembakau https://t.co/L0b1Y7r7bG,Positive
"Kini Saatnya Warga Desa Tlogobendung Menerima BLT-DD Dengan Didampingi Babinsa.
 https://t.co/pHaEHSFwo9",Positive
"Tuhan baik skli sma aku
-Aku minta rejeki buat beli kouta, dikasi (tiba2 namaku dapet blt)
-motorku kehabisan bensin jam 4 pagi diklungkung dan aku sendirian, dibantuin (Tiba2 ada bapak2 yg mau bantuin dorong motorku.
-Aku minta supaya dapet kerja, dikasi",Positive
@Sangkuriang5551 @Kucing73752519 @LampungVoli Ingat..yg antri blt dan bantuan lainnya dr pemerintah di kantong2 oposisi dpt jatah paling banyak.kan gk hrs kerja...wkwkwk,Positive
"Jelang Hari Raya Idul Fitri, Kades Tambong Salurkan BLT-DD Kepada 127 KPM.

Selengkapnya di https://t.co/a2xqY0qtSc https://t.co/NtqcLmDl4K",Negative
"BLT UMKM Cair Lagi, Ini Syarat dan Cara Cek Penerima di https://t.co/DQ9ZdZajzF untuk Cairkan BPUM Rp600.000 https://t.co/3Pc7Rqs8Al",Negative
"Terkini (21/04), KPPN Lubuk Linggau menyalurkan BLT Dana Desa kepada Pemkab Musi Rawas Utara sebesar Rp2,17 miliar diiringi dengan realisasi Dana Desa Reguler Rp5,04 miliar untuk 23 desa. Sebelumnya, Dana Desa juga telah disalurkan kepada 137 desa di Kab.",Negative
Alhamdulillah penyaluran BLT minyak goreng sudah 90% terpenuhi jadinya pas banget kan buat masyarakat #DukungMendagLutfi https://t.co/SXICPunVbj,Negative
"Babinsa Koramil 19/Gabus melaksanakan Pendampingan dan monitoring Penyaluran BLT Dana Desa Th 2022 Desa Mintobasuki Kecamatan Gabus yang dilaksanakan di Balai desa Mintobasuki kecamatan Gabus.Kamis,(28/04/2022). https://t.co/bGQc7WVdEX",Positive
"Penyaluran BLT DD Triwulan 1 T.A 2022 Desa Nembol, Kecamatan Mandalawangi, Pandeglang, Banten
#BerkahDanaDesa

@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@azzameldzikrie 
@tppkemendes 
@acongteahasan79
@ndrairawan9",Positive
"Periode 2 @jokowi mentrinya,pd Mlempem!hny duduk manis..mkn gaji buta...liat sj mslh Minyak goreng..g ada penyelesaian!malah diks BLT MINYAK GORENG @jokowi! KAN LUCU,YG DAPAT BLT SENENG.LAH YG G DAPAT NGOWOH!HARUSNYA @Kemendag NYA TINDAK DONG!MALAH IKUT T",Positive
"SENYUM Para KPM Penerima BLT DD APRIL 2022 merupakan KEBAHAGIAAN TPP KEMENDESA
@jokowi
@halimiskandarnu
@bpsdmkemendes
@tppkemendes 
@SukoyoKasekpro
@kpw4jatim 
@Ari_Asharie 
@Nuri_Maulidi_Z
@dpmdjatim
@LamonganPmd
#TPPJawaTimur 
#TPPLamongan https://t.co",Positive
"Penyaluran BLT DD Triwulan 1 T.A 2022 Desa Gunungsari, Kecamatan Mandalawangi, Pandeglang, Banten
#DanaDesaBerkah 

@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@azzameldzikrie 
@tppkemendes 
@acongteahasan79
@ndrair",Negative
"SENYUM Paran KPM Penerima BLT DD menjelang IDUL FITRI 1443 H merupakan KEBAHAGIAAN TPP KEMENDESA
@jokowi
@halimiskandarnu
@bpsdmkemendes
@tppkemendes 
@SukoyoKasekpro
@kpw4jatim 
@Ari_Asharie 
@Nuri_Maulidi_Z
@dpmdjatim
@LamonganPmd
#TPPJawaTimur 
#TPPLam",Positive
"Hari ini di beberapa Desa di kan. Simamungun  melaksanakan Pemberian Bantuan Langsung Tunai Dana Desa
#DesaWisataNusantara 
@halimiskandarnu 
@kemendespdtt 
@taufikmadjid71 
@DirjenPPMD 
@Pusat_PPMD 
@bpsdmkemendes 
@tppkemendes 
@TPPISUMUT 
#tppsimalungu",Positive
"Penyaluran BLT DD Triwulan 1 T.A 2022 Desa Gunungsari, Kecamatan Mandalawangi, Pandeglang, Banten
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@azzameldzikrie 
@tppkemendes 
@acongteahasan79
@ndrairawan99
@tppmandala",Negative
Bhabinkamtibmas dan Babinsa Desa Kapongan Amankan Giat Penyaluran BLT di Balai DesaÃ‚Â Kapongan https://t.co/sHSJYY1wRD,Positive
"BPJS memberikan penjelasan soal kapan BLT Subsidi Upah cari. Simak juga bagaimana cara cek penerima BSU.

#portalyogya 

https://t.co/YDKdbu6M0Q",Positive
"Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
Mudik Utamakan Prokes
https://t.co/FIYJ962qc2",Positive
"Harapan telah disalurkan kepada 366.757 KPM dengan jumlah penyaluran Rp290,37M, untuk program Sembako telah disalurkan kepada 208.828 KPM dan jumlah yang disalurkan Rp375,89M, serta Program BLT Tunai Regional Sulawesi disalurkan kepada 96.287KPM dengan ju",Neutral
"Penyaluran BLT DD thp l bln Januari sampai Maret thn 2022 Nagori Bahalgajah Kec Sidamanik Kab Simalungun Sumatera Utara dengan jumlah 100 KPM
@TPPSimalungun
@kemendespdtt  
@jokowi 
@halimiskandarnu 
@DitjenPPKTrans 
@KoorprovSumut 
@arjuna16sp https://t.",Positive
"Penyaluran BLT dinilai jadi solusi atasi kenaikan harga minyak goreng

Mudik Utamakan Prokes https://t.co/IugWcpz9TN",Positive
@jhoonmate @treasuremenfess SAMAAÃ°ÂŸÂ˜Â­ gw sampe lupa nadanya BLT,Negative
Babinsa wijirejo Koptu Priyanto melaksanakan pengamanan BLT di kalurahan wijirejo pandak https://t.co/rXpEnB3dwN,Positive
oke banget nih penyaluran BLT minyak groeng sudah 90% terpenuhi jadinya pas banget kan buat masyarakat #DukungMendagLutfi https://t.co/Ep8ScnPCOc,Positive
"Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari. Mudik Utamakan Prokes
https://t.co/uoJIjBvIrb",Positive
"@Kapuk15933342 @mierthea78 @aniesbaswedan Mereka itu kaum rebahan yg pengenny hidup enak..d kasih bansos n blt dr pemerintah..uuppss,Ã°ÂŸÂ¤Â­Ã°ÂŸÂ˜Â",Positive
"Babinsa Wonokerto Kulon Serka Susilo monitoring pelaksanaan penyaluran BLT DD kepada warganya, bertempat di balai desa setempat. kamis (28/4) https://t.co/qJfSo2kN8V",Positive
"87 KPM BLT DD DESA NA,E SAPE SAMPAIKAN UCAPAN TERIMA KASIH KEPADA KEPALA DESA. - ' https://t.co/8o38UD6UbG",Positive
"Babinsa Pecakaran Serka Tri Eko monitoring pelaksanaan penyaluran BLT DD kepada warganya, bertempat di balai desa setempat. kamis (28/4) https://t.co/R2q4IcZEyU",Positive
Anggota koramil 16 pandak melaksanakan pengarsipan BLT di makodim 0729 Bantul https://t.co/wL2JPUfIsa,Positive
"Danramil 19 Trucuk Kapten Inf Jatmiko Sujarwo bersama Camat Trucuk monitoring langsung penyaluran BLT DD di Balai Desa Pundungsari, Kec Trucuk. https://t.co/GHNyuhTbZz",Positive
"Kiptu Lanjar Babinsa Koramil 19 Trucuk melaksanakan giat pengamanan penyaluran BLT DD di Balai Desa Kradenan, Kec Trucuk. https://t.co/y5iaOSXkIg",Positive
Pembagian BLT-DD tahun 2022 di Nagori ujung Bawang kab. Simalungun Kec. Dolok Silau secara tunai https://t.co/AV9MirUJye,Positive
"Siap-siap BLT Anak Sekolah SD-SMA akan Cair, Simak Cara Cek Penerima untuk Dapatkan Bantuan Rp4,4 Juta https://t.co/nikRQiwG9s",Neutral
"Penyaluran BLT. Dana Desa bulan Januari s.d Maret 2022 kepada 97  KPM, Kamis, 28 April 2022, Desa PEM. KERASAAN REJO, Kec. Bandar, Kab. Simalungun
#SimalungunSalurBLTDD 
#TPPSimalungun
@jokowi
@halimiskandarnu
@imansyukri
@malik_haramain
@taufikmadjid71
@",Positive
"Jadi atas carut marut  yentangkemarin Migor  ini jawabannya ....
.
Dahlan Iskan:  Rakyat Maunya Apa? Harga Minyak Turun Yes, BLT Turun Yes https://t.co/lQQSUui8Jg",Negative
"pembagian BLT DD Th 2022
Desa Namo mirik 
Kec.kutalimbaru 
Kab. Deli Serdang https://t.co/JhO2L8jYqq",Positive
Babinsa Ramil 05/Ampel giat monitoring pembagian BLT dan vaksin di wilayah binaan https://t.co/PRHq2uQo6y,Positive
Pembagian BLT DD Th 2022 desa Lau Bekeri Kecamatan Kutalimbaru  kab. Deli Serdang https://t.co/UFlujXe0fn,Positive
"Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari. 
Mudik Utamakan Prokes
https://t.co/5fbKj5oNPq",Positive
Kapolres Aceh Timur Salurkan BLT MinyakÃ‚Â Goreng https://t.co/5vuYVyDNZQ,Positive
Kapolres Aceh Timur Salurkan BLT MinyakÃ‚Â Goreng https://t.co/TXAFe429Vr,Positive
"Pemdes Trimanunggal Salurkan BLT Dana Desa Bulan Februari Tahun Anggaran 2022

https://t.co/RNZmWoKO7S

#KORANKAMPAR #KORANONLNE #REDAKSI86",Positive
"Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
https://t.co/ngyFGCtGQT

Mudik Utamakan Prokes",Positive
Penyerahan secara simbolis oleh babinsa desa Teras kepada warga yang berhak menerima bantuan langsung tunai dana desa di aula desa teras kec. Teras kab. Boyolali https://t.co/nUQW2rZhp6,Positive
"Mudik Utamakan Prokes Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
https://t.co/VLRwp3xLs6",Positive
"Mudik Utamakan Prokes Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
https://t.co/KRzD1HERdO",Positive
"Mudik Utamakan Prokes Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
https://t.co/JEi91I0Igb",Negative
Gubernur Kalbar Serahkan Bantuan BLT Minyak Goreng dan BPNT Bagi Masyarakat https://t.co/1HqZE66AMg lewat @ppidkalbar https://t.co/JPwYARPY28,Positive
"Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
https://t.co/EgO2QNWCs2
Mudik Utamakan Prokes",Negative
"Penyaluran BLT Minyak Goreng Capai 95,7% dalam 10 Hari
https://t.co/cC4Wjq3REQ
Mudik Utamakan Prokes",Positive
"Dahlan Iskan:  Rakyat Maunya Apa? Harga Minyak Turun Yes, BLT Turun Yes https://t.co/eb8EGU6PoW",Positive
